zip_code,sumtotal
75025,1132
08512,1131
80126,1131
22303,1130
48067,1130
56201,1130
60606,1130
15221,1129
19012,1129
33321,1129
37922,1128
33176,1127
01053,1126
19146,1126
21804,1125
27701,1125
53551,1125
73134,1125
84737,1125
13215,1124
32309,1123.33
26505,1123
34285,1123
92119,1123
20832,1122
23188,1122
92705,1122
07739,1120
71909,1120
89135,1120
16652,1119
10598,1117
95350,1117
21032,1116
60045,1116
93036,1115.18
90254,1115
34698,1114
61614,1114
78681,1114
85711,1114
02360,1113.18
32615,1113
77478,1113
11978,1111
98031,1111
08876,1110
14213,1110
68124,1110
80120,1110
11710,1109
40059,1109
02462,1108
96816,1108
01451,1106
55303,1106
80537,1104
46236,1102
94565,1102
98282,1102
27587,1101
80403,1100.18
01035,1100
07032,1100
07631,1100
15411,1100
35802,1100
40475,1100
73170,1100
96704,1099
10536,1097
02543,1095
11209,1095
12540,1095
83703,1095
91767,1094
80517,1093
88005,1093
11230,1092.18
64055,1091
96754,1091
62535,1090
80020,1090
90018,1088
32207,1087
46383,1087
85048,1086.5
21037,1086
98801,1086
33708,1085
33881,1085
19341,1083
97814,1083
15238,1082
55126,1081
92630,1081
11706,1080
10968,1078
48128,1078
33484,1077.01
07724,1077
48307,1077
76034,1077
85208,1076
02131,1075
